D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,2691,F,CONSP DEF/OBT MNY/PROP MED AST,108A-63(E),20091201,99999999,I,20091201,99999999,No,20091201,0,
 ,2692,M,DEFRAUD DRUG/ALC TEST 1ST,14-401.20,20170810,99999999,1,20170810,99999999,No,20170810,0,
 ,2693,F,DEFRAUD DRUG/ALC TEST SUBOFN,14-401.20,20170810,99999999,I,20170810,99999999,No,20170810,0,
 ,2694,F,MORTGAGE SVC W/O LICENSE,53-243.02,20020701,20081231,I,20020701,99999999,No,20081231,1,
 ,2695,F,ACCESS GOVT COMPUTERS DEFRAUD,14-454.1(A)(1),20021201,99999999,F,20021201,99999999,No,20021201,0,
 ,2696,F,COUNTERFEIT TRADEMARK FEL,80-11.1(B),19951201,99999999,H/I,19951201,99999999,No,19951201,0,
 ,2697,F,"MONEY LAUNDERING <$100,000",14-118.8(B),20241201,99999999,H,20241201,99999999,No,20241201,0,
 ,2698,F,"MONEY LAUNDERING >=$100,000",14-118.8(B),20241201,99999999,C,20241201,99999999,No,20241201,0,
 ,2699,Free Text,FRAUD - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,2704,F,EMBEZZLEMENT OF STATE PROPERTY,14-91,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,2705,F,"EMBEZ STATE PROP >=$100,000",14-91,19971201,99999999,C,19971201,99999999,No,19971201,0,
*,2710,F,EMBEZZLEMENT BY FIDUCIARY,14-90,00000000,19940606,C/H, , ,No,19940606,1,
 ,2714,F,EMBEZZLEMENT RAILROAD OFFICER,14-94,00000000,99999999,H,19941001,99999999,No,19941001,0,
 ,2715,F,"EMBEZZLEMENT RR OFF >=$100,000",14-94,19971201,99999999,C,19971201,99999999,No,19971201,0,
 ,2718,F,EMBEZZLEMENT,14-90,00000000,99999999,H,19941001,99999999,No,19941001,0,
 ,2719,F,"EMBEZZLEMENT >=$100,000",14-90,19971201,99999999,C,19971201,99999999,No,19971201,0,
*,2720,F,EMBEZZLEMENT - INSURANCE AGENT,14-96,00000000,19940606,Blank, , ,No,19940606,1,
 ,2722,F,EMBEZZLEMENT-PUB OFF/TRUSTEES,14-92,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,2723,F,"EMBEZ PUB OFF/TRST >=$100,000",14-92,19971201,99999999,C,19971201,99999999,No,19971201,0,
 ,2799,Free Text,EMBEZZLE - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,2901,F,INJ PROP OBT NONFERR METAL-F,14-159.4(B),20121001,99999999,H,20121001,99999999,No,20121001,0,
 ,2902,F,INJ PROP NONFERR METAL>=10000,14-159.4(B),20121001,99999999,F,20121001,99999999,No,20121001,0,
 ,2903,F,INJ PROP NONFERR METAL-SB INJ,14-159.4(B),20121001,99999999,F,20121001,99999999,No,20121001,0,
 ,2904,F,INJ PROP NONFERR METAL-KILLED,14-159.4(B),20121001,99999999,D,20121001,99999999,No,20121001,0,
 ,2905,M,INJ PROP OBT NONFERR METAL-M,14-159.4(B),20121001,99999999,1,20121001,99999999,No,20121001,0,
 ,2906,M,INJ PROP NONFERR METAL-S INJ,14-159.4(B),20121001,99999999,A1,20121001,99999999,No,20121001,0,
 ,2907,M,INJ PROP NONFERR METAL-INFRAST,14-159.4(B),20121001,99999999,1,20121001,99999999,No,20121001,0,
*,2908,M,NEGLIGENT AND CARELESS BURNING,69-33,00000000,19940606,Blank, , ,No,19940606,1,
 ,2909,F,CONTAMINATE PUB WATER SYSTEM,14-159.1(A),20241201,99999999,C,20241201,99999999,No,20241201,0,
*,2910,F,BURNING PERSONAL PROPERTY,14-66,00000000,19940606,H, , ,No,19940606,1,
 ,2911,I,BURN WITHOUT WATCHMAN,14-140.1,20151001,99999999, , , ,No,20151001,0,
 ,2912,M,INJURY TO PERSONAL PROPERTY,14-160,00000000,99999999,2,19941001,99999999,No,19941001,0,
 ,2913,F,INJURE PUB WATER SYSTEM,14-159.1(B),20241201,99999999,C,20241201,99999999,No,20241201,0,
*,2914,T,TAMPERING WITH VEHICLE PARTS,20-107,00000000,19940606, , , ,No,19940606,1,
 ,2915,M,DISORDERLY CONDUCT PUBLIC BLDG,14-132(A)(1),00000000,99999999,2,19941001,99999999,No,19941001,0,
 ,2916,M,DEFACING PUBLIC BUILDING,14-132(A)(2),00000000,99999999,2,19941001,99999999,No,19941001,0,
 ,2917,M,INJURE BUILDING/FENCE/WALL(M),14-144(1),20081201,99999999,2,20081201,99999999,No,20081201,0,
 ,2918,F,INJURE BUILDING/FENCE/WALL(F),14-144(2),20081201,99999999,I,20081201,99999999,No,20081201,0,
 ,2919,M,BURN WITHOUT WATCHMAN,14-140.1,19950608,20150930,3,19950608,20150930,No,20150930,1,
 ,2920,M,INJURY TO REAL PROPERTY,14-127,00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,2921,F,INJURE WASTEWATER TREATMT SYS,14-159.1(C),20241201,99999999,C,20241201,99999999,No,20241201,0,
*,2922,T,TAMPERING WITH VEHICLE STEAL,20-107(B),00000000,19940606, , , ,No,19940606,1,
 ,2923,F,INJURE PUBLIC UTILITY PROPERTY,62-323(A),20241201,99999999,C,20241201,99999999,No,20241201,0,
*,2924,T,TAMPERING WITH VEHICLE,20-107,00000000,19940606, , , ,No,19940606,1,
 ,2925,F,INJURE MANUFACTURING FACILITY,14-150.3(A),20241201,99999999,C,20241201,99999999,No,20241201,0,
*,2926,M,DAMAGE TO PERSONAL PROPERTY,14-160,00000000,19940606,1, , ,No,19940606,1,
 ,2928,M,ALTER/REMOVE NMV SERIAL NUMBER,14-160.1(A),00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,2929,F,ALTER/REMOVE NMV SERIAL NO(F),14-160.1(A),20211201,99999999,H,20211201,99999999,No,20211201,0,
 ,2930,M,POSS/SELL/BUY ALT NMV SER NO,14-160.1(B),00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,2931,F,POSS/SELL/BUY ALT SER NO(F),14-160.1(B),20211201,99999999,H,20211201,99999999,No,20211201,0,
 ,2932,F,INJURE ENERGY FACILITY-DEATH,14-150.2,20231201,99999999,B2,20231201,99999999,No,20231201,0,
 ,2933,F,INJURE ENERGY FACILITY,14-150.2,20231201,99999999,C,20231201,99999999,No,20231201,0,
*,2940,M,FAIL TO EXTINGUISH FIRE,14-138,00000000,19950604,Blank, , ,No,19950604,1,
 ,2941,M,FAIL TO EXTINGUISH FIRE,14-138.1,19950608,99999999,3,19950608,99999999,No,19950608,0,
 ,2942,M,SET FIRE TO WOODS/LANDS/FIELDS,14-137,20020105,99999999,2,20020105,99999999,No,20020105,0,
 ,2943,F,WILLFUL INJURY RAILROAD PROP,14-278,19941001,99999999,I,19941001,99999999,No,19941001,0,
 ,2944,F,INJURING UTILITY WIRES/FIXTURE,14-154,20071201,99999999,I,20071201,20231130,No,20231130,1,
 ,2944,F,INJURING UTILITY WIRES/FIXTURE,14-154,20071201,99999999,C,20231201,99999999,No,20231201,0,
 ,2945,M,INJURY TO TREES/CROPS/LANDS,14-128,00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,2999,Free Text,DAMAGE PROPERTY - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,0,
 ,3300,M,SIMPLE POSS MDPV-MISD,90-95(A)(3),20110601,99999999,1,20110601,99999999,No,20110601,0,
 ,3301,M,ATTEMPT POSS MDPV-MISD,90-95(A)(3),20110601,99999999,1,20110601,99999999,No,20110601,0,
 ,3302,F,ATTEMPT POSS MDPV-FELONY,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3303,F,POSSESS MDPV-FELONY,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3304,F,SELL MDPV,90-95(A)(1),20110601,99999999,G,20110601,99999999,No,20110601,0,
 ,3305,F,CONSPIRE TO SELL MDPV,90-95(A)(1),20110601,99999999,G,20110601,99999999,No,20110601,0,
 ,3306,F,DELIVER MDPV,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3307,F,CONSPIRE TO DELIVER MDPV,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3308,F,MANUFACTURE MDPV,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3309,F,PWISD MDPV,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3310,F,PWIMSD MDPV,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3311,F,TRAFFICKING MDPV,90-95(H)(3D),20110601,20181130,H,20110601,20181130,No,20181130,1,
 ,3312,F,CONSPIRE TRAFFIC IN MDPV,90-95(H)(3D),20110601,20181130,I,20110601,20181130,No,20181130,1,
 ,3313,F,POSSESS MEPHEDRONE,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3314,F,ATTEMPT POSSESS MEPHEDRONE,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3315,F,SELL MEPHEDRONE,90-95(A)(1),20110601,99999999,G,20110601,99999999,No,20110601,0,
 ,3316,F,CONSPIRE TO SELL MEPHEDRONE,90-95(A)(1),20110601,99999999,G,20110601,99999999,No,20110601,0,
 ,3317,F,DELIVER MEPHEDRONE,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3318,F,CONSPIRE DELIVER MEPHEDRONE,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3319,F,MANUFACTURE MEPHEDRONE,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3320,F,PWISD MEPHEDRONE,90-95(A)(1),20110601,99999999,H,20110601,99999999,No,20110601,0,
 ,3321,F,PWIMSD MEPHEDRONE,90-95(A)(1),20110601,99999999,Blank,20110601,99999999,No,20110601,0,
 ,3322,F,TRAFFICKING MEPHEDRONE,90-95(H)(3E),20110601,20181130,Blank,20110601,20181130,No,20181130,1,
 ,3323,F,CONSP TRAFFIC IN MEPHEDRONE,90-95(H)(3E),20110601,20181130,Blank,20110601,20181130,No,20181130,1,
 ,3324,F,FEL POSS SYNTHETIC CANNABINOID,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3325,M,SYNTH CANNABINOID POSS<=7G,90-95(A)(3),20110601,20171130,3,20110601,20171130,No,20171130,1,
 ,3326,M,SYNTH CANNABINOID POSS>7-21G,90-95(A)(3),20110601,20171130,1,20110601,20171130,No,20171130,1,
 ,3327,F,ATT POSS SYNTH CANNABINOID-F,90-95(A)(3),20110601,99999999,I,20110601,99999999,No,20110601,0,
 ,3328,M,ATT POSS SYNTH CANNABIN<=7G,90-95(A)(3),20110601,20171130,3,20110601,20171130,No,20171130,1,
 ,3329,M,ATT POSS SYNTH CANNABIN>7-21G,90-95(A)(3),20110601,20171130,1,20110601,20171130,No,20171130,1,
 ,3330,F,SELL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20110601,20171130,No,20171130,1,
 ,3330,F,SELL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,G,20171201,99999999,No,20171201,0,
 ,3331,F,CONSP SELL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20110601,20171130,No,20171130,1,
 ,3331,F,CONSP SELL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,G,20171201,99999999,No,20171201,0,
 ,3332,F,DELIVER SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,I,20110601,20171130,No,20171130,1,
 ,3332,F,DELIVER SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20171201,99999999,No,20171201,0,
 ,3333,F,CONSP DEL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,I,20110601,20171130,No,20171130,1,
 ,3333,F,CONSP DEL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20171201,99999999,No,20171201,0,
 ,3334,F,MANUF SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,I,20110601,20171130,No,20171130,1,
 ,3334,F,MANUF SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20171201,99999999,No,20171201,0,
 ,3335,F,PWISD SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,I,20110601,20171130,No,20171130,1,
 ,3335,F,PWISD SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20171201,99999999,No,20171201,0,
 ,3336,F,PWIMSD SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,I,20110601,20171130,No,20171130,1,
 ,3336,F,PWIMSD SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,H,20171201,99999999,No,20171201,0,
 ,3337,F,TRAFFIC SYNTH CANNABINOID,90-95(H)(1A),20110601,99999999,D/F/G/H,20110601,99999999,No,20110601,0,
 ,3338,F,CONSP TRAFF SYNTH CANNABINOID,90-95(H)(1A),20110601,99999999,D/F/G/H,20110601,99999999,No,20110601,0,
 ,3339,F,SELL/DELIVER MDPV,90-95(A)(1),20110601,99999999,G/H,20110601,99999999,No,20110601,0,
 ,3340,F,CONSPIRE TO SELL/DELIVER MDPV,90-95(A)(1),20110601,99999999,G/H,20110601,99999999,No,20110601,0,
 ,3341,F,SELL/DELIVER MEPHEDRONE,90-95(A)(1),20110601,99999999,G/H,20110601,99999999,No,20110601,0,
 ,3342,F,CONSP SELL/DELIVER MEPHEDRONE,90-95(A)(1),20110601,99999999,G/H,20110601,99999999,No,20110601,0,
 ,3343,F,SELL/DEL SYNTH CANNABINOID,90-95(A)(1),20110601,99999999,D/F/G/H,20110601,99999999,No,20110601,0,
 ,3344,F,CONSP SELL/DEL SYNTH CANNABIN,90-95(A)(1),20110601,99999999,D/F/G/H,20110601,99999999,No,20110601,0,
 ,3345,F,OBT CS PRESCRIP MISREP/WITHHLD,90-108(A)(13),00000000,99999999,I,19941001,99999999,No,19941001,0,
 ,3346,F,PWIM PRECURSOR-NOT METH,90-95(D1)(1)A,19901001,99999999,H,19901001,99999999,No,19901001,0,
 ,3347,F,POSS/DISTR PRECURSOR-NOT METH,90-95(D1)(1)B,19901001,99999999,H,19901001,99999999,No,19901001,0,
 ,3348,F,PWIM PRECURSOR-METH,90-95(D1)(2)A,20041201,99999999,F,20041201,99999999,No,20041201,0,
 ,3349,F,POSS/DISTR PRECURSOR-METH,90-95(D1)(2)B,20041201,99999999,F,20041201,99999999,No,20041201,0,
 ,3350,F,TRAFFICKING SUBST CATHINONES,90-95(H)(3D),20181201,99999999,C/E/F,20181201,99999999,No,20181201,0,
 ,3351,F,CONSP TRAFF SUBST CATHINONES,90-95(H)(3D),20181201,99999999,C/E/F,20181201,99999999,No,20181201,0,
 ,3352,F,EMBEZZLE/DIVERT CS REG/EMP,90-108(A)(14),20181201,99999999,G,20181201,99999999,No,20181201,0,
 ,3353,F,DILUTE/SUBSTITUTE CS REG/EMP,90-108(A)(14),20181201,99999999,E,20181201,99999999,No,20181201,0,
 ,3354,F,EMBEZZ/DIVERT CS NON-REG/EMP,90-108(A)(15),20181201,99999999,G,20181201,99999999,No,20181201,0,
 ,3355,F,DILUTE/SUBST CS NON-REG/EMP,90-108(A)(15),20181201,99999999,E,20181201,99999999,No,20181201,0,
 ,3400,M,POSSESS MARIJ PARAPHERNALIA,90-113.22A,20141201,99999999,3,20141201,99999999,No,20141201,0,
 ,3401,M,POSSESS DRUG PARAPHERNALIA,90-113.22,00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,3402,F,SELL/DELIVER SCH I CS,90-95(A)(1),20020105,99999999,G,20020105,99999999,No,20020105,0,
 ,3403,F,SELL/DELIVER SCH II CS,90-95(A)(1),20020105,99999999,G,20020105,99999999,No,20020105,0,
 ,3404,F,SELL/DELIVER SCH III CS,90-95(A)(1),20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3405,F,POSS CS W/IN 300 FT OF SCHOOL,90-95(E)(8),00000000,20071130,E,19941001,99999999,No,20071130,1,
 ,3406,F,SELL/DELIVER SCH IV CS,90-95(A)(1),20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3407,F,SELL/DELIVER SCH V CS,90-95(A)(1),20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3408,F,SELL/DELIVER SCH VI CS,90-95(A)(1),20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3409,F,POSS CS PRISON/JAIL PREMISES,90-95(E)(9),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3410,F,S/D CS W/IN 300 FT OF SCHOOL,90-95(E)(8),00000000,20071130,E,19941001,99999999,No,20071130,1,
*,3411,F,TRAFFICKING IN AMPHETAMINE,90-95(H)(3A),19891001,19991130,E/G/H,19941001,99999999,No,19991130,1,
 ,3412,F,TRAFFICK IN AMPHETAMINE/METH,90-95(H)(3B),19891001,20090831,C/E/F,19941001,20090831,No,20090831,1,
 ,3413,F,TRAFFICKING IN LSD,90-95(H)(4A),19871001,99999999,D/F/G/H,19941001,99999999,No,19941001,0,
 ,3414,F,CONSPIRE TRAFFIC AMPHETAMINE,90-95(I),19891001,99999999,E/G/H,19941001,99999999,No,19941001,0,
 ,3415,F,CONSPIRE TRAFFIC METHAMPHETAMI,90-95(I),19891001,99999999,C/E/F,19941001,99999999,No,19941001,0,
 ,3416,F,CONSPIRE TRAFFIC LSD,90-95(I),19871001,99999999,D/F/G/H,19941001,99999999,No,19941001,0,
 ,3417,F,PWIMSD MDA/MDMA,90-95(A)(1),20040618,99999999,H,20040618,20051220,No,20051220,1,
 ,3417,F,PWIMSD MDA/MDMA,90-95(A)(1),20040618,99999999,H,20051221,99999999,No,20051221,0,
 ,3418,F,TRAFFICKING IN MDA/MDMA,90-95(H)(4B),19991201,99999999,D/F/G,19991201,99999999,No,19991201,0,
 ,3419,F,CONSPIRE TRAFFIC MDA/MDMA,90-95(I),19991201,99999999,D/F/G,19991201,99999999,No,19991201,0,
*,3420,F,SEIZURE/FORFEITURE OF VEHICLE,90-112,00000000,19950206,Blank,19941001,19950206,No,19950206,1,
 ,3421,F,SELL/DELIVER MARIJUANA,90-95(A)(1),20020105,99999999,I,20020105,99999999,No,20020105,0,
 ,3422,F,CONSP SELL/DELIVER MARIJUANA,90-98,20020105,99999999,I,20020105,99999999,No,20020105,0,
 ,3423,F,CS HIRE/USE MINOR>13 DEF 18<21,90-95.4(A)(1),19990101,99999999,B2/F/G/H,19990101,99999999,No,19990101,0,
 ,3424,F,CS HIRE/USE MINOR<=13 DEF18<21,90-95.4(A)(2),19990101,99999999,B1/E/F/G,19990101,99999999,No,19990101,0,
 ,3425,F,CS HIRE/USE MINOR >13 DEF >=21,90-95.4(B)(1),19990101,99999999,A/D/E/F,19990101,99999999,No,19990101,0,
 ,3426,F,CS HIRE/USE MINOR<=13 DEF>=21,90-95.4(B)(2),19990101,99999999,A/C/D/E,19990101,99999999,No,19990101,0,
 ,3427,F,CONSP SELL/DELIVER SCH I CS,90-98,20020105,99999999,G,20020105,99999999,No,20020105,0,
 ,3428,F,PROMOTE DRUG SALES BY A MINOR,90-95.6,19990101,99999999,D,19990101,99999999,No,19990101,0,
 ,3429,F,PARTICIP IN DRUG VIOL BY MINOR,90-95.7,19990101,99999999,G,19990101,99999999,No,19990101,0,
 ,3430,F,EMBEZZLE CS BY EMPLOYEE OF REG,90-108(A)(14),00000000,20181130,I,19941001,20131130,No,20181130,1,
 ,3430,F,EMBEZZLE CS BY EMPLOYEE OF REG,90-108(A)(14),00000000,20181130,G,20131201,20181130,No,20181130,1,
 ,3431,F,CONSP SELL/DELIVER SCH II CS,90-98,20020105,99999999,G,20020105,99999999,No,20020105,0,
 ,3432,F,CONSP SELL/DELIVER SCH III CS,90-98,20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3433,F,CONSP SELL/DELIVER SCH IV CS,90-98,20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3434,F,CONSP SELL/DELIVER SCH V CS,90-98,20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3435,F,SELL/DELIVER COCAINE,90-95(A)(1),20020105,99999999,D/F/G,20020105,99999999,No,20020105,0,
 ,3436,F,CONSPIRE SELL/DELIVER COCAINE,90-98,20020105,99999999,D/F/G,20020105,99999999,No,20020105,0,
 ,3437,F,SELL/DELIVER HEROIN,90-95(A)(1),20020105,99999999,C/E/F,20020105,99999999,No,20020105,0,
 ,3438,F,CONSPIRE SELL/DELIVER HEROIN,90-98,20020105,99999999,C/E/F,20020105,99999999,No,20020105,0,
 ,3439,F,CONSP SELL/DELIVER SCH VI CS,90-98,20020105,99999999,H,20020105,99999999,No,20020105,0,
 ,3440,F,SELL MARIJUANA,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3441,F,SELL COCAINE,90-95(A)(1),19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3442,F,SELL HEROIN,90-95(A)(1),19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3443,F,SELL LSD,90-95(A)(1),19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3444,F,SELL SCH I CS,90-95(A)(1),19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3445,F,SELL SCH II CS,90-95(A)(1),19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3446,F,SELL SCH III CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3447,F,SELL SCH IV CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3448,F,SELL SCH V CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3449,F,SELL SCH VI CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3450,F,SELL/DELIVER LSD,90-95(A)(1),20020105,99999999,D/F/G/H,20020105,99999999,No,20020105,0,
 ,3451,F,CONSPIRE SELL/DELIVER LSD,90-98,20020105,99999999,D/F/G/H,20020105,99999999,No,20020105,0,
 ,3452,F,ATTEMPTED POSSESSION COCAINE,90-98,20020105,99999999,I,20020105,99999999,No,20020105,0,
 ,3453,F,MANUFACTURE METHAMPHETAMINE,90-95(B)(1A),20041201,99999999,C,20041201,99999999,No,20041201,0,
 ,3454,F,POSS/DISTRIBUTE METH PRECURSOR,90-95(D1)(2),20041201,20170809,F,20041201,20170809,No,20170809,1,
 ,3455,F,DELIVER MARIJUANA,90-95(A)(1),19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3456,F,DELIVER COCAINE,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3457,F,DELIVER HEROIN,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3458,F,DELIVER LSD,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3459,F,DELIVER SCH I CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3460,F,DELIVER SCH II CS,90-95(A)(1),19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3461,F,DELIVER SCH III CS,90-95(A)(1),19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3462,F,DELIVER SCH IV CS,90-95(A)(1),19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3463,F,DELIVER SCH V CS,90-95(A)(1),19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3464,F,DELIVER SCH VI CS,90-95(A)(1),19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3465,F,POSSESS METHAMPHETAMINE,90-95(A)(3),20050222,99999999,I,20050222,99999999,No,20050222,0,
 ,3466,F,SELL METHAMPHETAMINE,90-95(A)(1),20050222,99999999,G,20050222,99999999,No,20050222,0,
 ,3467,F,DELIVER METHAMPHETAMINE,90-95(A)(1),20050222,99999999,H,20050222,99999999,No,20050222,0,
 ,3468,F,CONSPIRE SELL METHAMPHETAMINE,90-98,20050222,99999999,G,20050222,99999999,No,20050222,0,
 ,3469,F,CONSPIRE DELIVER METH,90-98,20050222,99999999,H,20050222,99999999,No,20050222,0,
 ,3470,M,POSS MARIJ >1/2 TO 1 1/2 OZ,90-95(D)(4),00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,3471,F,PWIMSD METHAMPHETAMINE,90-95(A)(1),20050411,99999999,H,20050411,99999999,No,20050411,0,
 ,3472,M,EXCEED PSEUDO LIMITS,90-113.53,20060115,99999999,1,20060115,99999999,No,20060115,0,
 ,3473,M,EXCEED PSEUDO LIMITS 2 OFF,90-113.53,20060115,99999999,A1,20060115,99999999,No,20060115,0,
 ,3474,F,EXCEED PSEUDO LIMITS 3+ OFF,90-113.53,20060115,99999999,I,20060115,99999999,No,20060115,0,
 ,3475,F,SELL OR DELIV CS MINOR >13-<16,90-95(E)(5),19990101,99999999,D,19990101,99999999,No,19990101,0,
 ,3476,F,SELL OR DELIV CS MINOR <=13,90-95(E)(5),19990101,99999999,C,19990101,99999999,No,19990101,0,
 ,3477,F,M/S/D/P CS ON/NEAR PLAYGROUND,90-95(E)(10),20011201,20071130,E,20011201,99999999,No,20071130,1,
 ,3478,F,M/S/D/P CS AT CHILD CARE CTR,90-95(E)(8),20011201,20071130,E,20011201,99999999,No,20071130,1,
 ,3479,F,POSS/DIST PRECURSOR CHEMICAL,90-95(D1),20041116,20170809,H,20041116,20170809,No,20170809,1,
 ,3480,F,CONSPIRE SELL MARIJ,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3481,F,CONSPIRE SELL COCAINE,90-98,19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3482,F,CONSPIRE SELL HEROIN,90-98,19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3483,F,CONSPIRE SELL LSD,90-98,19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3484,F,CONSPIRE SELL SCH I CS,90-98,19971201,99999999,G,19971201,99999999,No,19971201,0,
 ,3485,F,CONSPIRE SELL SCH VI CS,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3486,F,CONTAMINATE FOOD/DRINK W/CS,14-401.16,19971201,99999999,H/G,19971201,99999999,No,19971201,0,
 ,3487,F,M/S/D/P CS W/N 1000FT SCHOOL,90-95(E)(8),20071201,99999999,E,20071201,99999999,No,20071201,0,
 ,3488,F,M/S/D/P CS AT CHILD CARE CTR,90-95(E)(8),20071201,99999999,E,20071201,99999999,No,20071201,0,
 ,3489,F,M/S/D/P CS W/N 1000FT OF PARK,90-95(E)(10),20071201,99999999,E,20071201,99999999,No,20071201,0,
 ,3490,F,CONSPIRE DELIVER MARIJ,90-98,19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3491,F,CONSPIRE DELIVER COCAINE,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3492,F,CONSPIRE DELIVER HEROIN,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3493,F,CONSPIRE DELIVER LSD,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3494,F,CONSPIRE DELIVER SCH I CS,90-98,19971201,99999999,H,19971201,99999999,No,19971201,0,
 ,3495,F,CONSPIRE DELIVER SCH VI CS,90-98,19971201,99999999,I,19971201,99999999,No,19971201,0,
 ,3496,F,TRAFFICK IN METHAMPHETAMINE,90-95(H)(3B),20090901,99999999,C/E/F,20090901,99999999,No,20090901,0,
 ,3497,F,TRAFFICK IN AMPHETAMINE,90-95(H)(3C),20090901,99999999,E/G/H,20090901,99999999,No,20090901,0,
 ,3498,F,POSS PSEUDO/PRIOR METH CONV,90-95(D1)(1)C,20131201,99999999,H,20131201,99999999,No,20131201,0,
